tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-560,US Open,Hard,128.0,G,20000828.0,1.0,101736.0,1.0,,Andre Agassi,R,180.0,USA,30.3326488706,1.0,3754.0,103297.0,,WC,Alex Kim,R,175.0,USA,21.6892539357,432.0,53.0,6-4 6-2 6-0,5.0,R128,89.0,8.0,4.0,80.0,50.0,37.0,16.0,12.0,2.0,3.0,3.0,8.0,90.0,52.0,30.0,13.0,12.0,5.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,2.0,103096.0,,,Arnaud Clement,R,173.0,FRA,22.6967830253,37.0,928.0,103292.0,,,Gaston Gaudio,R,175.0,ARG,21.7193702943,26.0,1067.0,6-3 6-4 6-2,5.0,R128,105.0,11.0,5.0,92.0,58.0,44.0,16.0,14.0,2.0,3.0,5.0,4.0,84.0,53.0,34.0,12.0,13.0,7.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,3.0,102271.0,,,Hicham Arazi,L,175.0,MAR,26.8583162218,41.0,889.0,103082.0,,,Markus Hantschk,R,188.0,GER,22.7734428474,92.0,448.0,6-3 6-0 4-6 6-7(3) 6-4,5.0,R128,214.0,15.0,3.0,147.0,87.0,61.0,28.0,24.0,8.0,13.0,7.0,3.0,167.0,95.0,58.0,32.0,23.0,10.0,19.0
2000-560,US Open,Hard,128.0,G,20000828.0,4.0,101965.0,,,Wayne Ferreira,R,185.0,RSA,28.9527720739,21.0,1227.0,102776.0,,,Andrew Ilie,R,180.0,AUS,24.3613963039,51.0,794.0,6-3 2-6 6-4 6-1,5.0,R128,116.0,11.0,3.0,95.0,49.0,39.0,19.0,17.0,5.0,10.0,7.0,7.0,103.0,61.0,41.0,13.0,17.0,5.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,5.0,103324.0,,,Arnaud Di Pasquale,R,185.0,FRA,21.5441478439,63.0,642.0,102735.0,,Q,Cedric Kauffmann,R,,FRA,24.4928131417,311.0,98.0,6-4 6-4 4-6 6-3,5.0,R128,147.0,8.0,6.0,118.0,63.0,48.0,30.0,20.0,2.0,5.0,3.0,4.0,131.0,93.0,57.0,19.0,19.0,7.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,6.0,102318.0,,,Andrei Pavel,R,183.0,ROU,26.5845311431,35.0,945.0,103894.0,,WC,Phillip King,R,175.0,USA,18.6913073238,312.0,96.0,6-3 6-4 6-3,5.0,R128,89.0,5.0,3.0,74.0,37.0,27.0,26.0,14.0,2.0,4.0,5.0,2.0,83.0,36.0,22.0,24.0,14.0,4.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,7.0,102259.0,,,Jerome Golmard,L,188.0,FRA,26.9678302533,48.0,813.0,102286.0,,Q,Wayne Black,R,170.0,ZIM,26.7871321013,118.0,332.0,6-2 6-2 6-2,5.0,R128,87.0,12.0,4.0,61.0,34.0,30.0,17.0,12.0,0.0,1.0,4.0,2.0,77.0,26.0,19.0,17.0,12.0,7.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,8.0,102839.0,16.0,,Nicolas Lapentti,R,188.0,ECU,24.0410677618,16.0,1389.0,103184.0,,WC,Bob Bryan,L,193.0,USA,22.3326488706,129.0,300.0,7-5 6-4 7-6(4),5.0,R128,136.0,20.0,4.0,122.0,81.0,66.0,18.0,17.0,3.0,3.0,8.0,2.0,99.0,61.0,41.0,27.0,17.0,3.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,9.0,103720.0,9.0,,Lleyton Hewitt,R,180.0,AUS,19.5071868583,9.0,2036.0,103714.0,,,Andreas Vinciguerra,L,180.0,SWE,19.5208761123,43.0,868.0,2-6 7-5 6-3 6-3,5.0,R128,181.0,17.0,7.0,125.0,56.0,45.0,30.0,19.0,9.0,14.0,6.0,4.0,124.0,60.0,38.0,31.0,19.0,11.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,10.0,102369.0,,,Julien Boutter,R,190.0,FRA,26.3983572895,101.0,395.0,101902.0,,,Stephane Huet,L,180.0,FRA,29.3442847365,98.0,410.0,7-6(3) 6-3 6-0,5.0,R128,126.0,18.0,7.0,84.0,39.0,34.0,23.0,13.0,4.0,6.0,5.0,3.0,110.0,55.0,33.0,22.0,14.0,10.0,17.0
2000-560,US Open,Hard,128.0,G,20000828.0,11.0,102562.0,,,Jiri Novak,R,190.0,CZE,25.4373716632,39.0,899.0,103252.0,,,Alberto Martin,R,175.0,ESP,22.0232717317,62.0,644.0,6-4 6-4 6-4,5.0,R128,106.0,3.0,6.0,99.0,66.0,49.0,17.0,15.0,7.0,8.0,1.0,2.0,83.0,44.0,28.0,23.0,15.0,5.0,9.0
2000-560,US Open,Hard,128.0,G,20000828.0,12.0,101647.0,,,Byron Black,R,175.0,ZIM,30.893908282,29.0,1015.0,103758.0,,WC,Taylor Dent,R,188.0,USA,19.3456536619,196.0,190.0,7-6(7) 6-3 7-5,5.0,R128,123.0,2.0,2.0,101.0,57.0,40.0,30.0,17.0,3.0,5.0,8.0,11.0,124.0,67.0,46.0,27.0,16.0,9.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,13.0,102701.0,,,Marcelo Rios,L,175.0,CHI,24.6735112936,19.0,1300.0,103454.0,,,Nicolas Massu,R,183.0,CHI,20.8843258042,64.0,635.0,6-3 7-5 1-6 7-6(6),5.0,R128,188.0,6.0,2.0,119.0,67.0,50.0,33.0,20.0,7.0,10.0,5.0,4.0,132.0,66.0,49.0,33.0,20.0,1.0,4.0
2000-560,US Open,Hard,128.0,G,20000828.0,14.0,102533.0,,LL,Jens Knippschild,R,190.0,GER,25.5331964408,126.0,309.0,102443.0,,Q,Barry Cowan,L,188.0,GBR,26.0095824778,174.0,218.0,6-4 6-3 6-3,5.0,R128,89.0,18.0,2.0,78.0,53.0,47.0,14.0,14.0,4.0,4.0,12.0,3.0,88.0,67.0,46.0,8.0,14.0,6.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,15.0,102162.0,,,Chris Woodruff,R,188.0,USA,27.65229295,65.0,623.0,102770.0,,LL,John Van Lottum,R,185.0,NED,24.3832991102,127.0,307.0,6-2 6-3 6-0,5.0,R128,74.0,4.0,5.0,57.0,33.0,30.0,14.0,12.0,0.0,1.0,2.0,4.0,67.0,35.0,13.0,17.0,11.0,5.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,16.0,102358.0,7.0,,Thomas Enqvist,R,190.0,SWE,26.4613278576,5.0,2615.0,103264.0,,,Mariano Puerta,L,180.0,ARG,21.9411362081,18.0,1306.0,3-6 6-3 6-2 6-2,5.0,R128,118.0,11.0,5.0,93.0,46.0,37.0,30.0,17.0,4.0,6.0,6.0,5.0,112.0,62.0,38.0,24.0,17.0,14.0,20.0
2000-560,US Open,Hard,128.0,G,20000828.0,17.0,101948.0,4.0,,Pete Sampras,R,185.0,USA,29.0458590007,4.0,3039.0,102093.0,,,Martin Damm,R,188.0,CZE,28.0739219713,69.0,599.0,7-6(3) 7-5 6-4,5.0,R128,142.0,22.0,4.0,93.0,62.0,54.0,19.0,17.0,3.0,4.0,14.0,12.0,136.0,67.0,53.0,28.0,17.0,9.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,18.0,102925.0,,,Justin Gimelstob,R,196.0,USA,23.5865845311,88.0,483.0,103294.0,,,Christophe Rochus,R,170.0,BEL,21.7029431896,80.0,528.0,3-6 6-3 6-4 7-6(4),5.0,R128,177.0,35.0,11.0,137.0,71.0,60.0,32.0,20.0,7.0,10.0,3.0,12.0,138.0,71.0,47.0,37.0,20.0,8.0,12.0
2000-560,US Open,Hard,128.0,G,20000828.0,19.0,102860.0,,,Agustin Calleri,R,183.0,ARG,23.9534565366,72.0,550.0,102106.0,,,Davide Sanguinetti,R,188.0,ITA,28.0082135524,99.0,402.0,7-5 6-4 6-2,5.0,R128,109.0,11.0,4.0,86.0,53.0,42.0,22.0,15.0,3.0,4.0,6.0,9.0,85.0,41.0,28.0,19.0,15.0,2.0,7.0
2000-560,US Open,Hard,128.0,G,20000828.0,20.0,103457.0,,Q,Petr Kralert,R,188.0,CZE,20.8569472964,212.0,165.0,103176.0,,,David Sanchez,R,183.0,ESP,22.3572895277,93.0,430.0,7-6(4) 7-6(3) 6-2,5.0,R128,147.0,9.0,9.0,123.0,74.0,50.0,24.0,16.0,11.0,15.0,4.0,2.0,147.0,92.0,53.0,26.0,16.0,12.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,21.0,103163.0,,,Tommy Haas,R,188.0,GER,22.4038329911,38.0,913.0,102965.0,,Q,Jamie Delgado,R,178.0,GBR,23.4387405886,216.0,161.0,6-3 6-1 6-1,5.0,R128,223.0,7.0,8.0,65.0,38.0,31.0,16.0,11.0,4.0,4.0,3.0,1.0,83.0,35.0,19.0,22.0,12.0,9.0,16.0
2000-560,US Open,Hard,128.0,G,20000828.0,22.0,102783.0,,,Rainer Schuettler,R,180.0,GER,24.3422313484,67.0,613.0,102205.0,,Q,Sebastien Lareau,R,183.0,CAN,27.3374401095,125.0,311.0,7-6(4) 6-2 6-4,5.0,R128,111.0,9.0,2.0,82.0,52.0,46.0,14.0,15.0,1.0,3.0,8.0,2.0,90.0,60.0,39.0,15.0,15.0,2.0,7.0
2000-560,US Open,Hard,128.0,G,20000828.0,23.0,102703.0,,Q,Hyung Taik Lee,R,180.0,KOR,24.6516084873,182.0,205.0,101543.0,,,Jeff Tarango,L,180.0,USA,31.7700205339,76.0,536.0,6-3 3-6 6-3 7-6(6),5.0,R128,162.0,11.0,5.0,129.0,66.0,46.0,31.0,20.0,6.0,10.0,10.0,11.0,161.0,100.0,67.0,26.0,19.0,15.0,20.0
2000-560,US Open,Hard,128.0,G,20000828.0,24.0,102644.0,13.0,,Franco Squillari,L,183.0,ARG,25.0184804928,13.0,1605.0,102548.0,,,Juan Antonio Marin,R,175.0,CRC,25.492128679,95.0,427.0,6-3 6-3 7-6(5),5.0,R128,122.0,7.0,13.0,96.0,50.0,40.0,25.0,15.0,1.0,3.0,7.0,4.0,109.0,48.0,31.0,28.0,15.0,8.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,25.0,102450.0,11.0,,Tim Henman,R,185.0,GBR,25.9767282683,11.0,1750.0,102950.0,,,Fernando Vicente,R,180.0,ESP,23.4743326489,44.0,863.0,6-3 6-3 6-4,5.0,R128,105.0,4.0,1.0,78.0,43.0,33.0,24.0,14.0,1.0,2.0,0.0,1.0,84.0,44.0,29.0,17.0,14.0,5.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,26.0,103602.0,,Q,Fernando Gonzalez,R,183.0,CHI,20.0821355236,128.0,304.0,102821.0,,WC,Cecil Mamiit,R,173.0,PHI,24.1697467488,115.0,345.0,6-3 6-4 6-1,5.0,R128,95.0,7.0,10.0,80.0,48.0,35.0,14.0,13.0,3.0,6.0,0.0,2.0,74.0,45.0,24.0,8.0,13.0,5.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,27.0,101990.0,,,Richard Krajicek,R,196.0,NED,28.7282683094,23.0,1143.0,103694.0,,LL,Olivier Rochus,R,168.0,BEL,19.6084873374,110.0,359.0,6-7(1) 6-1 6-1 6-4,5.0,R128,138.0,25.0,5.0,104.0,60.0,52.0,25.0,18.0,1.0,1.0,3.0,6.0,129.0,71.0,44.0,29.0,18.0,10.0,16.0
2000-560,US Open,Hard,128.0,G,20000828.0,28.0,102987.0,,,Andre Sa,R,185.0,BRA,23.3127994524,86.0,495.0,103356.0,,,Michel Kratochvil,R,185.0,SUI,21.3935660507,151.0,256.0,3-6 6-4 6-1 7-6(4),5.0,R128,165.0,3.0,1.0,121.0,68.0,46.0,26.0,19.0,7.0,13.0,3.0,9.0,132.0,57.0,37.0,34.0,19.0,6.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,29.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,22.6475017112,36.0,936.0,101964.0,,,Goran Ivanisevic,L,193.0,CRO,28.9582477755,77.0,534.0,3-6 6-0 6-1 6-0,5.0,R128,80.0,19.0,4.0,83.0,48.0,40.0,19.0,14.0,7.0,9.0,10.0,9.0,96.0,43.0,28.0,14.0,14.0,12.0,21.0
2000-560,US Open,Hard,128.0,G,20000828.0,30.0,102223.0,,,Karim Alami,R,185.0,MAR,27.2635181383,33.0,973.0,101962.0,,,Younes El Aynaoui,R,193.0,MAR,28.9609856263,22.0,1212.0,6-3 6-4 3-6 2-6 6-3,5.0,R128,166.0,10.0,9.0,146.0,98.0,68.0,24.0,23.0,4.0,8.0,13.0,4.0,149.0,112.0,74.0,18.0,22.0,10.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,31.0,102880.0,,,Alexander Popp,R,201.0,GER,23.8138261465,83.0,512.0,103181.0,,,Jiri Vanek,R,185.0,CZE,22.3463381246,79.0,532.0,6-3 6-4 7-6(2),5.0,R128,86.0,10.0,3.0,81.0,52.0,43.0,22.0,16.0,0.0,1.0,9.0,5.0,95.0,60.0,39.0,18.0,15.0,2.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,32.0,102338.0,5.0,,Yevgeny Kafelnikov,R,190.0,RUS,26.5242984257,6.0,2596.0,101969.0,,,Orlin Stanoytchev,R,185.0,BUL,28.9281314168,116.0,345.0,6-7(5) 1-6 6-3 6-2 6-3,5.0,R128,165.0,15.0,11.0,147.0,86.0,68.0,27.0,22.0,7.0,10.0,16.0,15.0,141.0,63.0,48.0,41.0,23.0,7.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,33.0,103498.0,6.0,,Marat Safin,R,193.0,RUS,20.5859000684,7.0,2442.0,101945.0,,,Thierry Guardiola,R,188.0,FRA,29.0595482546,141.0,273.0,7-5 6-7(5) 6-4 6-4,5.0,R128,169.0,23.0,7.0,144.0,62.0,57.0,41.0,22.0,9.0,11.0,4.0,5.0,142.0,88.0,62.0,26.0,22.0,9.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,34.0,101150.0,,,Gianluca Pozzi,L,180.0,ITA,35.1978097194,49.0,807.0,102104.0,,,Christian Ruud,R,188.0,NOR,28.0109514031,142.0,271.0,6-2 6-3 6-2,5.0,R128,109.0,7.0,2.0,69.0,25.0,23.0,28.0,12.0,1.0,1.0,6.0,4.0,90.0,42.0,29.0,19.0,13.0,8.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,35.0,102905.0,,,Stefan Koubek,L,175.0,AUT,23.65229295,45.0,859.0,103428.0,,,Juan Ignacio Chela,R,190.0,ARG,20.9965776865,56.0,713.0,4-6 6-3 7-6(4) 7-6(5),5.0,R128,157.0,9.0,3.0,152.0,101.0,71.0,31.0,22.0,5.0,8.0,9.0,2.0,137.0,83.0,61.0,27.0,21.0,3.0,6.0
2000-560,US Open,Hard,128.0,G,20000828.0,36.0,103206.0,,,Sebastien Grosjean,R,175.0,FRA,22.250513347,28.0,1028.0,103240.0,,WC,Kevin Kim,R,180.0,USA,22.0917180014,157.0,246.0,6-3 6-2 6-4,5.0,R128,99.0,2.0,2.0,84.0,58.0,44.0,15.0,14.0,5.0,6.0,0.0,4.0,82.0,45.0,26.0,20.0,13.0,2.0,7.0
2000-560,US Open,Hard,128.0,G,20000828.0,37.0,102110.0,,,Daniel Nestor,L,190.0,CAN,27.9808350445,307.0,99.0,102148.0,,,Fabrice Santoro,R,178.0,FRA,27.7180013689,31.0,1007.0,7-6(4) 6-4 6-4,5.0,R128,109.0,14.0,5.0,90.0,57.0,48.0,21.0,16.0,1.0,1.0,16.0,5.0,99.0,53.0,38.0,26.0,16.0,6.0,8.0
2000-560,US Open,Hard,128.0,G,20000828.0,38.0,103819.0,,,Roger Federer,R,185.0,SUI,19.0554414784,40.0,892.0,103193.0,,,Peter Wessels,R,196.0,NED,22.3107460643,89.0,467.0,4-6 4-6 6-3 7-5 3-4 RET,5.0,R128,152.0,15.0,9.0,150.0,85.0,62.0,38.0,25.0,5.0,8.0,15.0,4.0,128.0,81.0,61.0,30.0,24.0,2.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,39.0,102024.0,,,Hernan Gumy,R,188.0,ARG,28.4818617385,96.0,415.0,103188.0,,Q,Michael Russell,R,173.0,USA,22.3271731691,181.0,207.0,4-6 7-6(6) 7-6(1) 6-4,5.0,R128,199.0,6.0,4.0,148.0,92.0,59.0,32.0,22.0,11.0,17.0,6.0,4.0,156.0,107.0,68.0,23.0,22.0,9.0,15.0
2000-560,US Open,Hard,128.0,G,20000828.0,40.0,103507.0,12.0,,Juan Carlos Ferrero,R,183.0,ESP,20.5420944559,12.0,1619.0,101897.0,,,Fernando Meligeni,L,180.0,BRA,29.3798767967,122.0,317.0,6-3 6-4 3-6 7-5,5.0,R128,156.0,6.0,2.0,131.0,67.0,44.0,36.0,20.0,5.0,11.0,3.0,6.0,115.0,57.0,40.0,22.0,20.0,5.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,41.0,103017.0,14.0,,Nicolas Kiefer,R,183.0,GER,23.1485284052,14.0,1477.0,102247.0,,,Andrea Gaudenzi,R,183.0,ITA,27.0800821355,103.0,387.0,7-5 6-4 0-6 6-4,5.0,R128,170.0,11.0,7.0,114.0,66.0,47.0,25.0,19.0,10.0,15.0,16.0,11.0,143.0,65.0,46.0,40.0,19.0,13.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,42.0,102035.0,,,Jonas Bjorkman,R,183.0,SWE,28.4325804244,53.0,744.0,102539.0,,,Bohdan Ulihrach,R,188.0,CZE,25.5112936345,82.0,518.0,2-6 7-6(4) 7-6(4) 6-1,5.0,R128,163.0,12.0,2.0,152.0,105.0,71.0,21.0,20.0,10.0,15.0,5.0,11.0,134.0,71.0,54.0,28.0,19.0,11.0,16.0
2000-560,US Open,Hard,128.0,G,20000828.0,43.0,102854.0,,,Sjeng Schalken,R,193.0,NED,23.9698836413,58.0,692.0,102694.0,,Q,Lars Burgsmuller,R,183.0,GER,24.7282683094,203.0,180.0,6-1 7-6(5) 6-2,5.0,R128,113.0,10.0,7.0,90.0,48.0,39.0,23.0,14.0,2.0,3.0,2.0,5.0,89.0,51.0,30.0,17.0,13.0,2.0,7.0
2000-560,US Open,Hard,128.0,G,20000828.0,44.0,102437.0,,,Adrian Voinea,R,185.0,ROU,26.0616016427,90.0,466.0,103182.0,,,Markus Hipfl,R,178.0,AUT,22.340862423,105.0,386.0,7-5 7-5 6-1,5.0,R128,98.0,14.0,1.0,91.0,60.0,48.0,15.0,16.0,4.0,5.0,7.0,1.0,90.0,55.0,42.0,13.0,15.0,5.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,45.0,103018.0,,,Max Mirnyi,R,196.0,BLR,23.1457905544,57.0,711.0,102344.0,,,Karol Kucera,R,188.0,SVK,26.4859685147,42.0,869.0,7-6(3) 6-3 7-6(3),5.0,R128,123.0,7.0,4.0,104.0,56.0,42.0,32.0,16.0,3.0,4.0,9.0,7.0,99.0,62.0,44.0,21.0,17.0,2.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,46.0,102610.0,,,Albert Costa,R,180.0,ESP,25.1772758385,24.0,1132.0,104053.0,,WC,Andy Roddick,R,188.0,USA,17.9958932238,338.0,85.0,6-3 6-7(5) 6-1 6-4,5.0,R128,146.0,18.0,3.0,116.0,65.0,54.0,33.0,20.0,3.0,4.0,14.0,5.0,127.0,65.0,51.0,25.0,18.0,11.0,16.0
2000-560,US Open,Hard,128.0,G,20000828.0,47.0,102642.0,,Q,Cyril Saulnier,R,190.0,FRA,25.0349075975,137.0,283.0,102722.0,,,Attila Savolt,R,183.0,HUN,24.5612594114,169.0,224.0,6-3 7-5 6-3,5.0,R128,125.0,10.0,1.0,84.0,45.0,37.0,25.0,15.0,2.0,3.0,5.0,5.0,95.0,38.0,29.0,27.0,15.0,3.0,8.0
2000-560,US Open,Hard,128.0,G,20000828.0,48.0,102796.0,3.0,,Magnus Norman,R,188.0,SWE,24.2464065708,3.0,3161.0,102834.0,,,Paul Goldstein,R,178.0,USA,24.0657084189,78.0,533.0,7-5 6-4 6-4,5.0,R128,147.0,12.0,4.0,117.0,73.0,54.0,27.0,16.0,10.0,10.0,1.0,1.0,120.0,74.0,50.0,20.0,16.0,12.0,15.0
2000-560,US Open,Hard,128.0,G,20000828.0,49.0,102374.0,8.0,,Alex Corretja,R,180.0,ESP,26.3819301848,8.0,2236.0,103387.0,,,Paradorn Srichaphan,R,185.0,THA,21.2073921971,85.0,495.0,7-6(2) 6-0 6-0,5.0,R128,118.0,9.0,2.0,81.0,42.0,31.0,28.0,12.0,5.0,6.0,3.0,5.0,106.0,49.0,27.0,25.0,12.0,11.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,50.0,101820.0,,,Marc Rosset,R,201.0,SUI,29.8069815195,30.0,1013.0,102652.0,,Q,Christian Vinck,L,183.0,GER,24.9856262834,121.0,320.0,6-4 6-1 6-4,5.0,R128,86.0,12.0,11.0,80.0,48.0,39.0,13.0,14.0,1.0,3.0,5.0,4.0,91.0,59.0,37.0,11.0,13.0,12.0,18.0
2000-560,US Open,Hard,128.0,G,20000828.0,51.0,101792.0,,,Slava Dosedel,R,183.0,CZE,30.0396988364,50.0,797.0,101532.0,,,Francisco Clavet,L,183.0,ESP,31.8439425051,46.0,849.0,7-6(3) 6-4 6-1,5.0,R128,125.0,2.0,4.0,85.0,51.0,39.0,19.0,14.0,1.0,3.0,3.0,7.0,101.0,55.0,33.0,22.0,15.0,5.0,11.0
2000-560,US Open,Hard,128.0,G,20000828.0,52.0,102845.0,,,Carlos Moya,R,190.0,ESP,24.0027378508,55.0,726.0,102025.0,,,Mikael Tillstrom,R,185.0,SWE,28.4818617385,61.0,667.0,6-4 6-2 7-5,5.0,R128,92.0,8.0,6.0,96.0,43.0,33.0,31.0,15.0,5.0,6.0,7.0,6.0,88.0,54.0,41.0,11.0,15.0,5.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,53.0,101774.0,,,Todd Martin,R,198.0,USA,30.1409993155,32.0,982.0,102434.0,,,Vincent Spadea,R,183.0,USA,26.1108829569,119.0,322.0,6-4 6-1 1-6 6-2,5.0,R128,134.0,9.0,7.0,100.0,59.0,43.0,21.0,16.0,2.0,5.0,2.0,6.0,110.0,49.0,32.0,27.0,16.0,8.0,14.0
2000-560,US Open,Hard,128.0,G,20000828.0,54.0,102021.0,,,Michael Chang,R,175.0,USA,28.514715948,25.0,1129.0,103248.0,,Q,Harel Levy,R,185.0,ISR,22.0643394935,68.0,604.0,6-2 3-6 6-4 6-4,5.0,R128,152.0,7.0,1.0,108.0,54.0,41.0,31.0,19.0,2.0,6.0,6.0,8.0,129.0,72.0,45.0,28.0,18.0,14.0,20.0
2000-560,US Open,Hard,128.0,G,20000828.0,55.0,102257.0,,,Greg Rusedski,L,193.0,GBR,26.9760438056,34.0,955.0,101320.0,,,Magnus Gustafsson,R,185.0,SWE,33.6509240246,52.0,791.0,6-1 6-2 6-4,5.0,R128,94.0,12.0,2.0,70.0,48.0,40.0,14.0,12.0,2.0,2.0,1.0,3.0,91.0,57.0,32.0,16.0,13.0,7.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,56.0,101611.0,10.0,,Cedric Pioline,R,188.0,FRA,31.2032854209,10.0,1871.0,102227.0,,,Sargis Sargsian,R,180.0,ARM,27.2361396304,71.0,566.0,6-3 6-3 6-1,5.0,R128,96.0,4.0,5.0,81.0,51.0,42.0,16.0,13.0,2.0,2.0,6.0,6.0,77.0,40.0,29.0,15.0,12.0,4.0,9.0
2000-560,US Open,Hard,128.0,G,20000828.0,57.0,102882.0,15.0,,Mark Philippoussis,R,196.0,AUS,23.8056125941,15.0,1410.0,102287.0,,,Albert Portas,R,188.0,ESP,26.7843942505,70.0,597.0,6-3 6-2 6-3,5.0,R128,101.0,14.0,10.0,82.0,38.0,32.0,22.0,13.0,4.0,6.0,10.0,10.0,92.0,43.0,29.0,17.0,13.0,10.0,17.0
2000-560,US Open,Hard,128.0,G,20000828.0,58.0,102998.0,,,Jan Michael Gambill,R,190.0,USA,23.2361396304,27.0,1064.0,103888.0,,WC,Mardy Fish,R,188.0,USA,18.7186858316,348.0,80.0,5-7 5-7 6-4 6-3 6-2,5.0,R128,208.0,30.0,8.0,165.0,83.0,66.0,42.0,26.0,8.0,12.0,10.0,1.0,145.0,79.0,52.0,36.0,25.0,5.0,11.0
2000-560,US Open,Hard,128.0,G,20000828.0,59.0,102563.0,,,Thomas Johansson,R,180.0,SWE,25.4318959617,91.0,454.0,103344.0,,,Ivan Ljubicic,R,193.0,CRO,21.4455852156,87.0,484.0,7-6(1) 7-6(5) 6-3,5.0,R128,134.0,7.0,2.0,114.0,51.0,39.0,41.0,16.0,8.0,9.0,13.0,2.0,98.0,60.0,47.0,18.0,17.0,2.0,5.0
2000-560,US Open,Hard,128.0,G,20000828.0,60.0,102869.0,,,Galo Blanco,R,173.0,ESP,23.8877481177,114.0,351.0,102158.0,,,Patrick Rafter,R,185.0,AUS,27.665982204,20.0,1246.0,7-6(3) 2-6 6-3 1-6 7-6(5),5.0,R128,183.0,18.0,5.0,160.0,71.0,51.0,55.0,24.0,6.0,10.0,24.0,5.0,137.0,93.0,78.0,27.0,24.0,6.0,7.0
2000-560,US Open,Hard,128.0,G,20000828.0,61.0,103598.0,,Q,Xavier Malisse,R,185.0,BEL,20.1095140315,159.0,240.0,102184.0,,,David Prinosil,R,185.0,GER,27.4715947981,59.0,688.0,7-5 6-4 6-4,5.0,R128,121.0,7.0,2.0,92.0,51.0,41.0,21.0,16.0,4.0,6.0,5.0,14.0,103.0,52.0,39.0,23.0,16.0,8.0,13.0
2000-560,US Open,Hard,128.0,G,20000828.0,62.0,101735.0,,,Richard Fromberg,R,196.0,AUS,30.3353867214,84.0,509.0,102567.0,,,George Bastl,R,183.0,SUI,25.4099931554,74.0,549.0,4-6 6-4 6-3 6-2,5.0,R128,146.0,15.0,6.0,116.0,64.0,53.0,25.0,19.0,3.0,5.0,5.0,7.0,109.0,72.0,54.0,12.0,18.0,5.0,10.0
2000-560,US Open,Hard,128.0,G,20000828.0,63.0,101727.0,,,Jason Stoltenberg,R,185.0,AUS,30.4010951403,75.0,537.0,101733.0,,Q,Jan Siemerink,L,183.0,NED,30.3737166324,134.0,298.0,6-0 6-4 6-1,5.0,R128,85.0,1.0,4.0,67.0,44.0,37.0,13.0,12.0,0.0,0.0,1.0,9.0,74.0,39.0,24.0,14.0,11.0,5.0,11.0
2000-560,US Open,Hard,128.0,G,20000828.0,64.0,101885.0,,Q,Wayne Arthurs,L,190.0,AUS,29.4483230664,102.0,392.0,102856.0,2.0,,Gustavo Kuerten,R,190.0,BRA,23.9644079398,2.0,3473.0,4-6 6-3 7-6(4) 7-6(1),5.0,R128,151.0,25.0,3.0,135.0,71.0,63.0,38.0,22.0,8.0,9.0,6.0,3.0,130.0,68.0,53.0,38.0,21.0,3.0,4.0
